Title,Link,Date
存在安全風險 Peloton召回近220萬輛健身自行車,https://ec.ltn.com.tw/article/breakingnews/4299128,2023/05/12 09:40,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/phpgW99x9.jpg
泰山刊廣告質疑證交所 證交所強力回擊,https://ec.ltn.com.tw/article/breakingnews/4299148,2023/05/12 09:38,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/phpvXaKmZ.jpg
MSCI指數台股權重1升2降 台積電權重降最多,https://ec.ltn.com.tw/article/breakingnews/4299141,2023/05/12 09:26,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/4299141_1.jpg
防疫險最終究責 中信產總座郭世昌降調副總,https://ec.ltn.com.tw/article/breakingnews/4299135,2023/05/12 09:21,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/4299135_1.jpg
IMF：美債務違約 將嚴重影響全球經濟,https://ec.ltn.com.tw/article/breakingnews/4299118,2023/05/12 09:17,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/phpoCP5Nz.jpg
新台幣兌美元開盤貶4.2分以30.78元開出,https://ec.ltn.com.tw/article/breakingnews/4299130,2023/05/12 09:08,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/phpargFUp.jpg
台股開盤》電子領跌 指數跌逾80點測15400點,https://ec.ltn.com.tw/article/breakingnews/4299126,2023/05/12 09:03,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/phpnG0752.jpg
美、中經濟數據疲軟 國際油價上漲,https://ec.ltn.com.tw/article/breakingnews/4299114,2023/05/12 08:40,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/phpmowMi4.jpg
美元走強 黃金連2日收低,https://ec.ltn.com.tw/article/breakingnews/4299108,2023/05/12 08:34,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/phpi37hUE.jpg
估創4200就業機會 高雄亞灣2.0計畫行政院核定通過,https://ec.ltn.com.tw/article/breakingnews/4299103,2023/05/12 08:27,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/4299103_1_1.jpg
非現金支付首季達1.67兆 全年可望再破6兆大關,https://ec.ltn.com.tw/article/breakingnews/4299060,2023/05/12 08:16,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/4299060_1.jpg
綜所稅列報扶養親屬 申報要件一次看,https://ec.ltn.com.tw/article/breakingnews/4298871,2023/05/12 08:00,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/11/4298871_1.jpg
任內最後的營業報告書 卓桐華：全球經濟軟著陸可期,https://ec.ltn.com.tw/article/breakingnews/4298978,2023/05/12 07:30,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/11/4298978_1.jpg
LTN經濟通》遇戰亂、通膨 人們立馬想到它,https://ec.ltn.com.tw/article/breakingnews/4295985,2023/05/12 07:23,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/09/phpLQpsD6.jpg
推特找到新執行長 馬斯克轉為監督職,https://ec.ltn.com.tw/article/breakingnews/4299073,2023/05/12 07:15,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/phpUz0pZ1.jpg
銀行危機陰霾不散！道瓊下跌221點連4黑,https://ec.ltn.com.tw/article/breakingnews/4299072,2023/05/12 06:44,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/12/phpin0AFf.jpg
金融業快爆雷？中國國銀大量凍結存戶金融卡,https://ec.ltn.com.tw/article/breakingnews/4298985,2023/05/12 06:37,https://img.ltn.com.tw/Upload/business/page/400S/2023/05/11/phpkpcrrA.jpg
波克夏子公司冰雪皇后探索新市場 台灣為可能選項,https://ec.ltn.com.tw/article/breakingnews/4299069,2023/05/12 05:30,
美國商會支持 限制中國取得敏感技術,https://ec.ltn.com.tw/article/paper/1582406,2023/05/12 05:30,https://img.ltn.com.tw/Upload/news/250/2023/05/12/84.jpg
TDR法律規範不清／立法缺漏致冤案 立委促修證交法,https://ec.ltn.com.tw/article/paper/1582370,2023/05/12 05:30,https://img.ltn.com.tw/Upload/news/250/2023/05/12/45.jpg
